,invokname,was_cold,latency
199,gzip_100,False,0.5412192344665527
200,dd_100,False,0.5331265926361084
201,cnn_100,False,2.633970260620117
202,hello_100,False,0.4741663932800293
203,hello_75,False,0.25453686714172363
204,image_40,False,7.027074098587036
205,train_75,False,9.13508677482605
206,aes_100,False,0.776496171951294
207,hello_75,False,0.22520971298217773
208,float_75,False,0.2347550392150879
209,hello_40,False,0.24666500091552734
210,train_100,False,10.032969951629639
211,aes_100,False,0.6925063133239746
212,train_100,False,9.718714714050293
213,dd_40,False,0.4838385581970215
214,json_100,False,1.477574110031128
215,image_100,False,7.246673583984375
216,cham_100,False,0.2998507022857666
217,lin_pack_100,False,0.24342989921569824
218,json_100,False,0.7340118885040283
219,gzip_75,False,0.6581389904022217
220,lin_pack_75,False,0.4220409393310547
221,float_75,False,0.246903657913208
222,dd_75,False,0.5530436038970947
223,lin_pack_100,False,1.1524176597595215
224,cham_10,False,0.6502895355224609
225,aes_40,False,0.9114105701446533
226,hello_100,False,0.2671988010406494
227,cnn_10,True,10.042209386825562
228,cnn_75,False,5.7689290046691895
229,lin_pack_40,False,2.799001693725586
230,aes_100,False,2.7252132892608643
231,float_40,False,1.5876026153564453
232,json_100,False,1.1570961475372314
233,cnn_40,False,2.2494218349456787
234,aes_75,False,0.9868121147155762
235,gzip_75,False,0.6724853515625
236,cham_100,False,0.3346583843231201
237,float_10,False,0.289259672164917
238,gzip_100,False,0.5156378746032715
239,train_100,False,9.495384693145752
240,aes_75,False,0.8847393989562988
241,cnn_75,False,2.175278663635254
242,hello_100,False,0.26361536979675293
243,lin_pack_40,False,0.27999401092529297
244,float_100,False,0.27620792388916016
245,aes_100,False,0.8117082118988037
246,float_40,False,0.23923063278198242
247,cham_40,False,0.3037986755371094
248,cham_75,False,0.37476277351379395
249,lin_pack_75,False,0.4721662998199463
250,image_10,True,9.544841051101685
251,json_75,False,0.4312734603881836
252,json_75,False,0.9073183536529541
253,json_10,False,0.30832982063293457
254,cham_75,False,0.28871798515319824
255,train_40,False,9.100810289382935
256,lin_pack_100,False,0.276613712310791
257,lin_pack_40,False,0.30110621452331543
258,lin_pack_100,False,0.25351929664611816
259,aes_100,False,0.6699883937835693
260,image_100,False,7.348287343978882
261,gzip_40,False,0.6417665481567383
262,hello_100,False,0.3733830451965332
263,dd_75,False,0.4335505962371826
264,image_75,False,7.438286542892456
265,cham_40,False,0.36264896392822266
266,cnn_100,False,2.5641543865203857
267,float_100,False,0.2712991237640381
268,train_100,False,9.154956340789795
269,lin_pack_100,False,0.20339035987854004
270,float_100,False,0.2720041275024414
271,image_100,False,7.113419055938721
272,cham_75,False,0.3086247444152832
273,cnn_100,False,2.212160348892212
274,json_100,False,0.4463965892791748
275,float_40,False,0.22440266609191895
276,gzip_75,False,0.7114598751068115
277,hello_100,False,0.24261212348937988
278,float_40,False,0.26169610023498535
279,hello_40,False,0.29222893714904785
280,dd_100,False,0.483278751373291
281,cham_75,False,1.2805545330047607
282,cnn_100,False,2.489197254180908
283,hello_100,False,0.3755466938018799
284,cham_100,False,0.26403069496154785
285,gzip_75,False,0.6563982963562012
286,float_100,False,0.5436174869537354
287,gzip_75,False,0.6309449672698975
288,cnn_40,False,2.1966516971588135
289,json_10,False,0.5400125980377197
290,hello_40,False,0.22121214866638184
291,aes_75,False,0.8121235370635986
292,json_100,False,0.2837104797363281
293,float_100,False,0.2093346118927002
294,hello_40,False,0.9300732612609863
295,lin_pack_100,False,0.34433865547180176
296,gzip_100,False,0.6234035491943359
297,float_75,False,0.3370640277862549
298,train_10,True,12.819724798202515
299,aes_100,False,0.9169220924377441
300,json_40,False,0.3828718662261963
301,image_100,False,6.611800193786621
302,gzip_40,False,0.687157154083252
303,json_100,False,0.720346212387085
304,image_100,False,7.025086879730225
305,cham_100,False,0.32016754150390625
306,cham_100,False,0.28188657760620117
307,train_40,False,9.563347339630127
308,cham_100,False,0.36541008949279785
309,cham_40,False,0.27986931800842285
310,gzip_75,False,0.7336492538452148
311,hello_100,False,0.270510196685791
312,gzip_100,False,0.8123271465301514
313,hello_75,False,0.26995325088500977
314,image_75,False,7.074073076248169
315,lin_pack_75,False,0.2959024906158447
316,gzip_100,False,0.5321307182312012
317,gzip_10,True,4.344950914382935
318,json_100,False,0.542611837387085
319,dd_100,False,0.6055526733398438
320,train_75,False,10.501574754714966
321,gzip_100,False,1.0140995979309082
322,float_100,False,0.27435874938964844
323,cham_100,False,0.3243393898010254
324,aes_75,False,0.823596715927124
325,lin_pack_100,False,0.2615363597869873
326,aes_100,False,0.7147445678710938
327,gzip_100,False,0.6003072261810303
328,lin_pack_75,False,0.3919370174407959
329,cnn_75,False,1.9886646270751953
330,gzip_75,False,0.5880753993988037
331,dd_75,False,0.5559349060058594
332,cham_75,False,1.2039079666137695
333,json_75,False,1.0855772495269775
334,dd_75,False,0.5409770011901855
335,cnn_100,False,3.4153730869293213
336,dd_40,False,0.7672760486602783
337,gzip_40,False,0.6581099033355713
338,hello_100,False,0.9426696300506592
339,cnn_100,False,1.924623966217041
340,json_100,False,0.5064008235931396
341,json_100,False,0.5505080223083496
342,cnn_100,False,2.3680765628814697
343,gzip_75,False,0.5928826332092285
344,lin_pack_75,False,0.3445565700531006
345,aes_100,False,0.8373146057128906
346,hello_75,False,0.26334118843078613
347,json_40,False,0.7175998687744141
348,float_75,False,0.2561044692993164
349,hello_75,False,0.23305416107177734
350,hello_75,False,0.25600719451904297
351,lin_pack_75,False,0.41590213775634766
352,dd_40,False,0.48051023483276367
353,image_100,False,7.3915300369262695
354,dd_75,False,0.9553816318511963
355,float_100,False,0.29538464546203613
356,json_100,False,0.995988130569458
357,aes_100,False,0.8332562446594238
358,aes_10,False,0.8509566783905029
359,cham_75,False,0.2685399055480957
360,cnn_100,False,2.174363613128662
361,dd_100,False,0.4519236087799072
362,train_100,False,10.012046098709106
363,aes_75,False,1.6356704235076904
364,image_75,False,6.86649751663208
365,lin_pack_100,False,0.2599494457244873
366,train_100,False,9.658822774887085
367,cham_100,False,0.3255598545074463
368,cham_100,False,0.3116796016693115
369,aes_100,False,0.7292213439941406
370,cham_75,False,0.24872231483459473
371,dd_75,False,0.4293358325958252
372,cham_75,False,1.2050845623016357
373,cham_40,False,0.6349003314971924
374,aes_75,False,0.8361358642578125
375,float_100,False,0.2272183895111084
376,cnn_100,False,2.7118215560913086
377,cnn_100,False,2.178973913192749
378,lin_pack_40,False,0.3251957893371582
379,json_100,False,0.6533100605010986
380,hello_75,False,0.25692057609558105
381,aes_100,False,0.7496020793914795
382,hello_75,False,0.33017992973327637
