Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
Transaction,aes_100-1636670945.5712538,1,0,667,667,667,667,667,667,667,667,667,667,667,667,667,667,667
Transaction,cham_150-1636670920.1878793,1,0,26372,26372,26372,26372,26372,26372,26372,26372,26372,26372,26372,26372,26372,26372,26372
Transaction,image_100-1636670924.1991515,1,0,22493,22493,22493,22493,22493,22493,22493,22493,22493,22493,22493,22493,22493,22493,22493
Transaction,lin_pack_150-1636670946.4908614,1,0,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202
Transaction,image_100-1636670925.2603087,1,0,21540,21540,21540,21540,21540,21540,21540,21540,21540,21540,21540,21540,21540,21540,21540
Transaction,aes_150-1636670946.0874379,1,0,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750
Transaction,json_150-1636670943.1642532,1,0,3728,3728,3728,3728,3728,3728,3728,3728,3728,3728,3728,3728,3728,3728,3728
Transaction,cnn_75-1636670941.9209223,1,0,5131,5131,5131,5131,5131,5131,5131,5131,5131,5131,5131,5131,5131,5131,5131
Transaction,lin_pack_150-1636670946.9838917,1,0,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145
Transaction,train_150-1636670937.0349183,1,0,10218,10218,10218,10218,10218,10218,10218,10218,10218,10218,10218,10218,10218,10218,10218
Transaction,hello_150-1636670945.0279717,1,0,2478,2478,2478,2478,2478,2478,2478,2478,2478,2478,2478,2478,2478,2478,2478
Transaction,float_150-1636670947.6722531,1,0,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189
Transaction,gzip_100-1636670947.8916411,1,0,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439
Transaction,hello_150-1636670946.3631666,1,0,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
Transaction,train_100-1636670917.1809728,1,0,31408,31408,31408,31408,31408,31408,31408,31408,31408,31408,31408,31408,31408,31408,31408
Transaction,hello_100-1636670945.9057438,1,0,3136,3136,3136,3136,3136,3136,3136,3136,3136,3136,3136,3136,3136,3136,3136
Transaction,gzip_40-1636670939.5025618,1,0,10178,10178,10178,10178,10178,10178,10178,10178,10178,10178,10178,10178,10178,10178,10178
Transaction,aes_40-1636670949.1852098,1,0,676,676,676,676,676,676,676,676,676,676,676,676,676,676,676
Transaction,float_150-1636670949.1083615,1,0,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134
Transaction,gzip_40-1636670938.3547232,1,0,12563,12563,12563,12563,12563,12563,12563,12563,12563,12563,12563,12563,12563,12563,12563
Transaction,hello_150-1636670919.1838098,1,0,31959,31959,31959,31959,31959,31959,31959,31959,31959,31959,31959,31959,31959,31959,31959
Transaction,float_100-1636670947.9280658,1,0,3319,3319,3319,3319,3319,3319,3319,3319,3319,3319,3319,3319,3319,3319,3319
Transaction,aes_150-1636670950.130504,1,0,1132,1132,1132,1132,1132,1132,1132,1132,1132,1132,1132,1132,1132,1132,1132
Transaction,gzip_100-1636670951.111682,1,0,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577
