Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
Transaction,video_75-1636669924.8948848,1,0,48780,48780,48780,48780,48780,48780,48780,48780,48780,48780,48780,48780,48780,48780,48780
Transaction,float_150-1636669942.005654,1,0,32259,32259,32259,32259,32259,32259,32259,32259,32259,32259,32259,32259,32259,32259,32259
Transaction,float_75-1636669938.3134315,1,0,36460,36460,36460,36460,36460,36460,36460,36460,36460,36460,36460,36460,36460,36460,36460
Transaction,float_75-1636669937.845852,1,0,37069,37069,37069,37069,37069,37069,37069,37069,37069,37069,37069,37069,37069,37069,37069
Transaction,video_150-1636669925.349049,1,0,49953,49953,49953,49953,49953,49953,49953,49953,49953,49953,49953,49953,49953,49953,49953
Transaction,gzip_75-1636669973.8279693,1,0,1683,1683,1683,1683,1683,1683,1683,1683,1683,1683,1683,1683,1683,1683,1683
Transaction,gzip_100-1636669975.1198063,1,0,684,684,684,684,684,684,684,684,684,684,684,684,684,684,684
Transaction,float_40-1636669933.06329,1,0,42829,42829,42829,42829,42829,42829,42829,42829,42829,42829,42829,42829,42829,42829,42829
Transaction,json_100-1636669936.3193576,1,0,39908,39908,39908,39908,39908,39908,39908,39908,39908,39908,39908,39908,39908,39908,39908
Transaction,dd_150-1636669975.0942085,1,0,1221,1221,1221,1221,1221,1221,1221,1221,1221,1221,1221,1221,1221,1221,1221
Transaction,video_100-1636669968.8234053,1,0,7971,7971,7971,7971,7971,7971,7971,7971,7971,7971,7971,7971,7971,7971,7971
Transaction,aes_150-1636669974.957527,1,0,1839,1839,1839,1839,1839,1839,1839,1839,1839,1839,1839,1839,1839,1839,1839
Transaction,hello_150-1636669976.9377632,1,0,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215
Transaction,cnn_75-1636669971.9572062,1,0,5353,5353,5353,5353,5353,5353,5353,5353,5353,5353,5353,5353,5353,5353,5353
Transaction,cham_100-1636669977.2508805,1,0,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202
Transaction,image_150-1636669970.281864,1,0,7616,7616,7616,7616,7616,7616,7616,7616,7616,7616,7616,7616,7616,7616,7616
Transaction,cham_100-1636669938.2865732,1,0,39863,39863,39863,39863,39863,39863,39863,39863,39863,39863,39863,39863,39863,39863,39863
Transaction,cnn_150-1636669972.6041605,1,0,5562,5562,5562,5562,5562,5562,5562,5562,5562,5562,5562,5562,5562,5562,5562
Transaction,gzip_100-1636669937.9817348,1,0,40643,40643,40643,40643,40643,40643,40643,40643,40643,40643,40643,40643,40643,40643,40643
Transaction,image_75-1636669970.139665,1,0,9016,9016,9016,9016,9016,9016,9016,9016,9016,9016,9016,9016,9016,9016,9016
Transaction,float_100-1636669977.5194516,1,0,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026
Transaction,aes_150-1636669944.5611107,1,0,35213,35213,35213,35213,35213,35213,35213,35213,35213,35213,35213,35213,35213,35213,35213
Transaction,float_150-1636669965.5745597,1,0,14566,14566,14566,14566,14566,14566,14566,14566,14566,14566,14566,14566,14566,14566,14566
Transaction,dd_150-1636669979.3029974,1,0,864,864,864,864,864,864,864,864,864,864,864,864,864,864,864
Transaction,train_100-1636669967.8941748,1,0,12399,12399,12399,12399,12399,12399,12399,12399,12399,12399,12399,12399,12399,12399,12399
Transaction,gzip_100-1636669978.7769616,1,0,1525,1525,1525,1525,1525,1525,1525,1525,1525,1525,1525,1525,1525,1525,1525
Transaction,float_150-1636669978.7046287,1,0,1863,1863,1863,1863,1863,1863,1863,1863,1863,1863,1863,1863,1863,1863,1863
